,movie_id,title,runtime,certificate,imdb_rating,year,votes,summary,user_review,critic_review,language,country,budget,gross,opening_week,oscar_win,oscar_nom,other_win,other_nom,meta_score,Crime,Drama,Thriller,Comedy,War,Action,Adventure,Sci-Fi,Western,Biography,Horror,Fantasy,Romance,Mystery,Family,History,Music,Animation,Sport,Musical,Film-Noir,Documentary,News,Short
756,tt6774786,Occupation,119.0,R,5.0,2018,11028,"A small group of town residents have to band together after a devastating ground invasion. As they struggle to survive, they realize they must stay one step ahead of their attackers, and work together for a chance to strike back.",414,33,English,Australia,10000000,6880917,0,0,0,1,0,45.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,tt0246894,Rollerball,98.0,PG-13,3.1,2002,25231,The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.,295,156,English,"USA, Germany, Japan",70000000,18990798,9013548,0,0,5,3,14.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
758,tt6197494,Malicious,90.0,TV-MA,5.0,2018,2969,A young college professor and his pregnant wife unwittingly release a malevolent entity with murderous intentions.,55,10,English,USA,3500000,6880917,0,0,0,0,0,51.87179487179487,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
759,tt1137470,Accidental Love,100.0,PG-13,4.1,2015,7499,"A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?",35,60,English,"USA, UK",26000000,6880917,0,0,6,0,0,20.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
760,tt5669936,The Recall,90.0,R,4.2,2017,6486,"When five friends vacation at a remote lake house they expect nothing less than a good time, unaware that planet Earth is under an alien invasion and mass-abduction.",153,34,English,Canada,3600000,22943,6570,0,0,1,0,51.87179487179487,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
761,tt2124787,Final Girl,90.0,R,4.7,2015,13509,A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.,150,69,English,"Canada, USA",8000000,6880917,0,0,0,1,1,51.87179487179487,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
762,tt0240462,Dr. Dolittle 2,87.0,PG,4.7,2001,40929,Dolittle must save a forest and a bear's life.,80,91,English,USA,70000000,112952899,25037039,0,0,3,6,49.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
763,tt5834854,Mary,84.0,R,4.4,2019,2138,A family looking to start a charter-boat business buys a ship that holds terrifying secrets once out on isolated waters.,61,45,English,USA,10000000,6880917,0,0,0,0,1,31.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
764,tt0083170,Tarzan the Ape Man,115.0,Approved,3.4,1981,5055,"While on an African expedition with her father, Jane Parker meets Tarzan, and the two become fascinated by each other.",70,28,English,USA,6500000,36565280,0,0,0,2,9,24.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,tt7959500,The Farm,80.0,Unrated,3.7,2018,1713,A young couple gets kidnapped and treated like farm animals after stopping at a roadside diner to eat meat.,94,13,English,USA,5000000,6880917,0,0,0,0,0,51.87179487179487,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
766,tt0068595,Flesh Gordon,78.0,R,4.7,1974,3789,"Emperor Wang is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon",50,70,English,USA,700000,6880917,0,0,0,0,1,51.87179487179487,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,tt0092115,Troll,82.0,PG-13,4.5,1986,8961,A wicked troll king in search of a mystical ring that will transform him to human form invades a San Francisco apartment complex where a powerful witch lives.,123,78,English,"USA, Italy",1100000,5450815,2595054,0,0,0,1,30.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
768,tt0052077,Plan 9 from Outer Space,79.0,Unrated,4.0,1959,35128,"Evil aliens attack Earth and set their terrible ""Plan 9"" into action. As the aliens resurrect the dead of the Earth, the lives of the living are in danger.",496,118,English,USA,60000,6880917,0,0,0,0,0,51.87179487179487,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
769,tt6003368,Diary of a Wimpy Kid: The Long Haul,91.0,PG,4.3,2017,6527,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,109,63,English,USA,22000000,20738724,7126084,0,0,0,1,39.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
770,tt3082898,Kickboxer: Vengeance,90.0,Unrated,4.9,2016,10065,A kick boxer is out to avenge his brother.,88,75,English,USA,10000000,6880917,0,0,0,0,0,37.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,tt0109770,The Fantastic Four,90.0,PG,3.8,1994,4815,"When dosed with cosmic rays, four intrepid explorers are given incredible powers.",138,58,English,"Germany, USA",1000000,6880917,0,0,0,0,0,51.87179487179487,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
772,tt2103254,Tammy,97.0,R,4.9,2014,46446,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother.",171,147,English,USA,20000000,84525432,21577049,0,0,1,7,39.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
773,tt0116756,Kazaam,93.0,PG,3.0,1996,22636,"A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests.",105,21,English,USA,20000000,18937262,5001588,0,0,0,2,24.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,tt0108308,Teenage Mutant Ninja Turtles III,96.0,PG,4.8,1993,30061,The turtles find themselves transported back in time to ancient Japan.,95,67,English,"USA, Hong Kong",21000000,42273609,12419597,0,0,1,0,40.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,tt6563576,The Queen's Corgi,85.0,PG,4.8,2019,4621,The British monarch's (Dame Julie Walters') favorite dog gets lost from the palace and finds himself at a dog fight club. He then begins his long journey to find his way back home.,129,31,English,"Belgium, USA",10000000,6880917,0,0,0,0,0,51.87179487179487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
776,tt0211181,102 Dalmatians,100.0,G,4.9,2000,33764,Cruella DeVil gets out of prison and goes after the puppies once more.,84,88,English,"USA, UK",85000000,66957026,19883351,0,1,1,7,35.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
777,tt0282209,Darkness Falls,86.0,PG-13,5.0,2003,29659,"A vengeful spirit has taken the form of the Tooth Fairy to exact vengeance on the town that lynched her 150 years earlier. Her only opposition is the only child, now grown up, who has survived her before.",370,146,English,"USA, Australia",11000000,32551396,12024917,0,0,1,2,23.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
778,tt4992060,Compulsion,84.0,Unrated,3.7,2016,1171,"After a fight with her boyfriend, a successful female erotic novelist on a book tour of Europe joins her ex and his female friend, with whom she falls madly in love, for a party at a castle owned by a dangerous cult.",15,4,English,"UK, Canada, Italy",2000000,6880917,0,0,0,0,0,51.87179487179487,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
779,tt7942736,Spider in the Web,113.0,Unrated,4.3,2019,1104,"A young operative is sent on a mission to follow an older agent, whose behavior has come into question.",30,14,English,"Israel, Belgium, UK",10000000,6880917,0,0,0,0,0,51.87179487179487,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,tt0265087,Black Knight,95.0,PG-13,4.9,2001,37166,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England.",172,49,English,USA,50000000,33426971,11102948,0,0,0,2,32.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
781,tt5612742,F*&% the Prom,92.0,Unrated,4.2,2017,4300,1st day of high school 2 friends split and 3.5 years later he's still the least popular and she's the most popular girl but brutally loses the throne and allies with her old friend and get Machiavellian at the popular girls and their prom.,65,2,English,USA,10000000,6880917,0,0,0,0,0,51.87179487179487,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,tt6014472,S.W.A.T.: Under Siege,89.0,R,4.6,2017,2291,A SWAT compound comes under fire from an international terrorist who relentlessly and violently pursues a mystery man who was apprehended by Seattle SWAT after a raid went horribly wrong.,27,17,English,USA,10000000,6880917,0,0,0,0,0,51.87179487179487,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,tt6988116,Kalank,166.0,Unrated,3.6,2019,10497,"The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.",496,23,Hindi,India,1500000000,2729336,1276581,0,0,12,11,51.87179487179487,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
784,tt0096149,Space Mutiny,91.0,Unrated,2.1,1988,6454,"A pilot is the only hope to stop the mutiny of a spacecraft by its security crew, who plot to sell the crew of the ship into slavery.",184,37,English,"South Africa, USA",10000000,397887,0,0,0,0,0,51.87179487179487,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
